serve,plate,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of serving. In this case, the Instrument role is the plate of spaghetti, which is a physical object that is used to serve the customer with a smile.","The argument 'plate' has the properties of being a physical object that is used to perform the action of serving, and it is the instrument that is used to serve the customer with a smile.","The argument 'plate' fits the Instrument role for the predicate 'serve' because it is a physical object that is used to perform the action of serving, and it is the instrument that is used to serve the customer with a smile."
serve,plate,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of serving, and it is the plate of fries that is used to serve the customer with a side of ketchup.","The argument 'plate' has the properties of being a physical object that is used to perform the action of serving, and it is the plate of fries that is used to serve the customer with a side of ketchup.",The argument 'plate' fits the Instrument role for the predicate 'serve' because it is the physical object that is used to perform the action of serving the customer with a side of ketchup.
serve,plate,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of serving, and it is the plate of pasta that is used to serve the customer with a side of garlic bread.","The argument 'plate' has the properties of being a physical object that is used to perform the action of serving, and it is the plate of pasta that is used to serve the customer with a side of garlic bread.","The argument 'plate' fits the Instrument role for the predicate 'serve' because it is the physical object that is used to perform the action of serving. In this sentence, the waiter uses the plate of pasta to serve the customer with a side of garlic bread. "
serve,plate,Instrument,"  The Instrument role should have the properties of being a physical object that is used to perform the action of serving, and it is the plate of chicken that is used to serve the customer with a side of rice. ","The argument 'plate' has the properties of being a physical object that is used to perform the action of serving, and it is the plate of chicken that is used to serve the customer with a side of rice.",The argument 'plate' fits the Instrument role for the predicate 'serve' because it is the physical object that is used to perform the action of serving the customer with the food. 
serve,tray,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of serving. In this case, the tray of drinks is the Instrument because it is a physical object that is used to place the drinks on the table.","The argument 'tray' has the properties of being a physical object, a container, and a means of transportation.",The argument 'tray' fits the Instrument role for the predicate 'serve' because it is a physical object that is used to place the drinks on the table.
serve,tray,Instrument,"The Instrument role should have the properties of being a physical object, a means of transportation, and a means of communication.","The argument 'tray' has the properties of being a physical object, a means of transportation, and a means of communication.",The argument 'tray' fits the Instrument role for the predicate 'serve' because it is a physical object that is used to transport the drinks to the customer.
serve,tray,Instrument,"  The Instrument role should have the properties of being a physical object, a means of transportation, and a means of communication. ","The argument 'tray' has the properties of being a physical object, a means of transportation, and a means of communication.",The argument 'tray' fits the Instrument role for the predicate 'serve' because it is a physical object that is used to hold the drinks while the customer is being served. 
serve,glass,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of serving. In this case, the glass of water is the Instrument because it is the object that the waiter uses to serve the glass of water to the customer.","The argument 'glass' has the properties of being a physical object that is served by the waiter, and it is the object that the waiter uses to serve the customer.","The argument 'glass' fits the Instrument role for the predicate 'serve' because it is the object that the waiter uses to serve the customer. The waiter serves the glass of water with a smile, which means that the glass of water is the instrument that the waiter uses to perform the action of serving. "
serve,platter,Instrument,"The Instrument role should have the properties of being a tool or a means used to perform the action of the predicate. In this case, the Instrument role is the platter, which is a tool used to serve the dessert.",The argument 'platter' has the properties of being a tool or a means used to perform the action of the predicate 'serve'.,The argument 'platter' fits the Instrument role for the predicate 'serve' because it is a tool or means used to perform the action of serving the dessert.
serve,platter,Instrument,"The Instrument role should have the properties of being a tool or a means used to perform the action of the predicate 'serve'. In this case, the Instrument role is the platter, which is a tool used to serve the drinks.",The argument 'platter' has the properties of being a tool or a means used to perform the action of the predicate 'serve'.,The platter fits the Instrument role for the predicate 'serve' because it is a tool used to serve the drinks.
serve,platter,Instrument,"The Instrument role should have the properties of being a tool or a means used to perform the action of the predicate 'serve'. In this case, the Instrument role is the platter, which is a tool used to serve the side dishes.",The argument 'platter' has the properties of being a tool or a means used to perform the action of the predicate 'serve'.,The argument 'platter' fits the Instrument role for the predicate 'serve' because it is a tool or means used to perform the action of serving the side dishes. 
serve,bucket,Instrument,"The Instrument role should have the properties of being a tool or device used to perform an action. In this case, the bucket is used as a container for the water, so it should have the role of Instrument.",The argument 'bucket' has the properties of being a container and a tool for holding and transporting water.,"The argument 'bucket' fits the Instrument role for the predicate 'serve' because it is a tool used to perform the action of serving. In this sentence, the bucket is used as a container for the water, so it is an instrument that is used to perform the action of serving. "
serve,bucket,Instrument,The Instrument role should have the properties of being a tool for pouring water.,The argument 'bucket' has the properties of being a tool for pouring water.,The argument 'bucket' fits the Instrument role for the predicate 'serve' because it is a tool used to perform the action of serving. 
serve,bucket,Instrument,  The Instrument role should have the properties of being a vessel for holding water. ,The argument 'bucket' has the properties of being a vessel for holding water.,"The argument 'bucket' fits the Instrument role for the predicate 'serve' because it is the tool or device used to perform the action of serving. In this case, the bucket is used as a vessel to hold the water, which is the object of the sentence. "
serve,bucket,Instrument,  The Instrument role should have the properties of being a receptacle for holding water. ,The bucket has the properties of being a receptacle for holding water.,"The argument 'bucket' fits the Instrument role for the predicate 'serve' because it is the tool or device used to perform the action of serving. In this case, the bucket is used to hold the water, which is the object of the sentence. "
serve,bucket,Instrument,  The Instrument role should have the properties of being a container for holding water and being used to pour water into the sink. ,The argument 'bucket' has the properties of being a container for holding water and being used to pour water into the sink. ,"The argument 'bucket' fits the Instrument role for the predicate 'serve' because it is the tool or device used to perform the action of serving. In this case, the bucket is used to pour the water into the sink, which is the action of serving the water to its intended destination. "
sweep,mop,Instrument,"The Instrument role should have the properties of being a tool or device used to perform an action. In this case, the mop is the instrument used to sweep the floor.","The mop is a tool used for cleaning, specifically for sweeping floors.","The argument 'mop' fits the Instrument role for the predicate 'sweep' because it is a tool used to perform the action of sweeping. The mop is used to sweep the floor, and it is the instrument that is used to do so. "
sweep,mop,Instrument,"The mop should have the properties of being a tool used for cleaning, specifically for sweeping floors.","The mop has the properties of being a tool used for cleaning, specifically for sweeping floors.",The argument 'mop' fits the Instrument role for the predicate 'sweep' because it is the tool used to perform the action of sweeping. 
sweep,mop,Instrument,"  The mop should have the properties of being a tool used for cleaning, specifically for sweeping up crumbs. ","The mop is a tool used for cleaning, specifically for sweeping up crumbs.",The mop fits the Instrument role for the predicate 'sweep' because it is the tool used to sweep up the crumbs. 
sweep,mop,Instrument,"  The mop is a tool used for cleaning, specifically for sweeping up messes. ","The mop is a tool used for cleaning, specifically for sweeping up messes. ","The mop is a tool used for cleaning, specifically for sweeping up messes. Therefore, the argument 'mop' fits the Instrument role for the predicate 'sweep' because it is the tool used to perform the action of sweeping. "
sweep,mop,Instrument,"  The mop is a tool used for cleaning, specifically for sweeping up dirt. ","The mop is a tool used for cleaning, specifically for sweeping up dirt. ","The mop is a tool used for cleaning, specifically for sweeping up dirt. "
