abandon,baby,ARG0,The young mother had no choice but to abandon the baby at the hospital's safe haven.,"Unable to cope, they made the heartbreaking decision to abandon the baby at a fire station.","In a moment of desperation, she decided to abandon the baby on a neighbor's doorstep.","Fearing for the baby's future, they felt compelled to abandon the baby in a place where it would be found and cared for.","The parents, overwhelmed and under-resourced, made the difficult decision to abandon the baby at a local church."
abandon,baby,ARG1,They could never imagine anyone would abandon a baby at the doorstep.,"In the story, the queen had to abandon her baby in the forest to save it from the curse.",Authorities are searching for the person who decided to abandon a baby in the park overnight.,The community was shocked to hear that someone had chosen to abandon a baby at the local hospital.,"After finding the abandoned baby, the police made it their top priority to find the parents who could abandon their baby like that."
abandon,cat,ARG0,The family had to abandon their cat when they moved overseas.,"Due to financial difficulties, she was forced to abandon her cat at the shelter.","After years of neglect, the old man decided to abandon his cat in the wild.",The young couple regretfully decided to abandon their cat before joining the Peace Corps.,"In the chaos of the natural disaster, they had no choice but to abandon their cat to save themselves."
abandon,cat,ARG1,The family had to abandon the cat when they moved overseas.,"Due to financial difficulties, they were forced to abandon the cat.","After the hurricane, many people had to abandon their cats to find safety.","The old man decided to abandon the cat in the woods, believing it would survive on its own.","When the apartment complex caught fire, residents had to quickly abandon their cats to escape."
abandon,child,ARG0,The parents decided to abandon the child at the doorstep of a fire station.,"Due to extreme poverty, they felt they had no choice but to abandon the child in the hope of a better future.","In the war-torn region, the soldier found an abandoned child who had been left behind in the chaos.",The community was shocked to learn that someone could abandon a child in the middle of the forest.,"After years of struggle with addiction, she made the heartbreaking decision to abandon the child to the care of the state."
abandon,child,ARG1,"The couple decided to abandon the child at the doorstep of a fire station, hoping for a better future for him.","Due to the war, many parents were forced to abandon their children, leaving them in the care of orphanages.","In the movie, the protagonist was abandoned as a child, which led to a journey of self-discovery and reconciliation.","The harsh economic conditions compelled the young mother to abandon her child, with a note, at the church's entrance.","After years of struggle with addiction, she made the painful decision to abandon her child, believing it was in his best interest."
abandon,kidnapper,ARG0,The kidnapper abandoned his plan to demand a ransom after realizing the police were closing in.,"Fearing capture, the kidnapper abandoned the hideout in the middle of the night.","Once the kidnapper abandoned the pursuit, the hostages found their way to safety.",The kidnapper abandoned any hope of escaping when surrounded by law enforcement.,"Realizing the error of his ways, the kidnapper abandoned the captive unharmed in a public space."
abandon,kidnapper,ARG1,The kidnapper decided to abandon his plan at the last minute.,"Under pressure, the kidnapper had to abandon the hideout.","Feeling remorse, the kidnapper chose to abandon the captive near a police station.",The kidnapper had no choice but to abandon the stolen vehicle when it ran out of gas.,"Realizing the risk was too high, the kidnapper decided to abandon the operation entirely."
accept,award,ARG0,The committee decided to accept the award on behalf of the community.,"After much deliberation, the artist chose to accept the award with humility.",The young scientist was thrilled to accept the award for her groundbreaking research.,"Despite initial hesitation, the author agreed to accept the award for best novel of the year.",The team worked hard and was proud to accept the award for best innovation.
accept,award,ARG1,The committee will accept the award on behalf of the absent recipient.,"After years of hard work, the young scientist finally got to accept the award.","Due to her groundbreaking research, she was honored to accept the award.",The organization decided to accept the award with gratitude and humility.,"He couldn't believe he was standing on stage, ready to accept the award."
accept,friend,ARG0,My friend accepted the invitation with enthusiasm.,His friend accepted the challenge without hesitation.,Her friend accepted the job offer immediately.,Their friend accepted the apology sincerely.,Your friend accepted the gift gratefully.
accept,friend,ARG1,The committee will accept a friend as a new member.,"After much deliberation, the university decided to accept a friend's research proposal.",The community center is eager to accept a friend into their volunteer program.,The online forum was quick to accept a friend as a new moderator.,The local charity was happy to accept a friend's offer to help organize the event.
accept,neighbor,ARG0,The neighbor accepted the invitation with a warm smile.,Our neighbor accepted the package for us while we were away.,The neighbor accepted the responsibility of feeding the cat during our vacation.,Their neighbor accepted the offer to join the neighborhood watch.,The neighbor accepted the challenge of organizing the block party.
accept,neighbor,ARG1,The community will accept the neighbor's proposal for the annual block party.,"After much deliberation, they decided to accept the neighbor as a member of the local council.",The neighborhood committee will accept the neighbor's request to organize a charity event.,"Despite initial reservations, the family decided to accept the neighbor's invitation to dinner.",The local sports team will accept the neighbor as a new player after seeing his skills.
accept,student,ARG0,The student accepted the challenge with enthusiasm.,A student accepted the prestigious scholarship after months of hard work.,Every student accepted into the program must complete an orientation.,The student accepted the professor's invitation to join the research project.,The student accepted the apology from her classmate gracefully.
accept,student,ARG1,The university will accept the student despite his low test scores.,Our program decided to accept the student based on her exceptional portfolio.,"After much deliberation, the committee agreed to accept the student into the research internship.",The scholarship foundation will accept the student for their outstanding community service record.,"Due to her impressive athletic abilities, the sports academy chose to accept the student."
accept,teenager,ARG0,The teenager accepted the challenge with determination.,A teenager accepted the award on behalf of the entire team.,The teenager accepted the invitation to join the science club.,Every teenager accepted the new policy at school without complaint.,The teenager accepted the responsibility of caring for the family pet.
accept,teenager,ARG1,The teenager accepted the challenge with determination.,A teenager accepted the responsibility of caring for the family pet while their parents were away.,The teenager accepted the award with a mixture of pride and humility.,Every teenager accepted into the program felt a sense of achievement.,"The teenager accepted the apology from her friend, ready to move past the argument."
accuse,criminal,ARG0,The criminal accused his accomplice of betraying him to the police.,"In a surprising turn of events, the criminal accused the judge of bias during the trial.",The criminal accused the witness of lying about the events of that night.,"Frustrated with the lack of evidence, the criminal accused the detectives of framing him.",The criminal accused the media of portraying him unfairly and exacerbating public fear.
accuse,criminal,ARG1,The criminal accuses the system of being unjust.,"In a surprising turn of events, the criminal accuses his partner of betrayal.",The criminal accuses the media of spreading lies about him.,"During the trial, the criminal accuses the witness of lying.",The criminal accuses the police of using excessive force during his arrest.
accuse,defendant,ARG0,The defendant accuses the prosecution of unfair bias.,"In a surprising turn, the defendant accuses the judge of misconduct.","Throughout the trial, the defendant accuses the media of spreading falsehoods.",The defendant accuses the police of planting evidence.,"Frustrated, the defendant accuses the jury of not paying attention."
accuse,defendant,ARG1,The defendant was accused of embezzlement by the prosecution.,"In court, the defendant was accused of lying under oath.",The defendant was accused of tampering with evidence before the trial began.,"During the investigation, the defendant was accused of obstructing justice.",The defendant was accused of conspiracy to commit fraud by the authorities.
accuse,dog,ARG0,The dog accused the cat of stealing its bone.,"In a surprising turn of events, the dog accused the mailman of being too sneaky.",The dog accused the squirrel of invading its territory without any proof.,"During the trial, the dog accused the neighbor's pet of causing the commotion.",The dog accused the vacuum cleaner of being the main enemy in a heated argument.
accuse,dog,ARG1,The dog was accused of stealing the neighbor's shoes.,"In a bizarre turn of events, the dog was accused of triggering the alarm.",The dog was accused of making a mess in the kitchen.,"Surprisingly, the dog was accused of eating the homework.",The dog was accused of barking all night and disturbing the peace.
accuse,prosecutor,ARG0,The prosecutor accused the defendant of perjury during the trial.,"In the high-profile case, the prosecutor accused the celebrity of obstruction of justice.","During the press conference, the prosecutor accused the corporation of widespread fraud.","The prosecutor accused the mayor of corruption, sparking a major investigation.","After months of investigation, the prosecutor accused the gang leader of racketeering."
accuse,prosecutor,ARG1,The prosecutor accuses the defendant of fraud in the high-profile case.,"In the courtroom, the prosecutor accuses the suspect of tampering with evidence.","During the trial, the prosecutor accuses the witness of lying under oath.",The prosecutor accuses the company of violating environmental laws.,The prosecutor accuses the mayor of corruption and misuse of public funds.
accuse,suspect,ARG0,The suspect accused the witness of lying.,Suspects often accuse each other to deflect blame.,The suspect accused the police of harassment.,"In a surprising twist, the suspect accused his own lawyer of incompetence.",The suspect accused the media of bias and sensationalism.
accuse,suspect,ARG1,The police accuse the suspect of the crime.,Investigators accuse the suspect of lying during the interrogation.,The community will likely accuse the suspect of causing unrest.,Authorities accuse the suspect of escaping from custody.,The prosecutor may accuse the suspect of tampering with evidence.
accuse,witness,ARG0,The witness accused the defendant of lying under oath.,"In a surprising turn of events, the witness accused the police officer of tampering with evidence.","During the trial, the witness accused the company of negligence leading to the accident.",The witness accused her neighbor of stealing her mail in front of the community watch.,"After careful consideration, the witness accused the celebrity of making false statements to the press."
accuse,witness,ARG1,The witness accuses the defendant of lying under oath.,"In the courtroom, the witness accuses the suspect of tampering with evidence.","During the investigation, the witness accuses the neighbor of hiding crucial information.",The witness accuses the company of environmental violations in the public hearing.,"At the press conference, the witness accuses the politician of corruption and misuse of power."
admire,actress,ARG0,The audience admires the actress for her outstanding performance.,Critics admire the actress for her versatility in roles.,Young aspiring actors admire the actress for her dedication to the craft.,Her peers admire the actress for her ability to evoke strong emotions.,The director admires the actress for her commitment to character authenticity.
admire,actress,ARG1,Many fans admire the actress for her outstanding performances.,Critics admire the actress for her versatility in roles.,Young girls admire the actress for her style and grace.,The director admires the actress for her dedication to the craft.,Audiences worldwide admire the actress for her ability to evoke emotion.
admire,athlete,ARG0,The athlete admires the dedication of her coach.,Many athletes admire the perseverance it takes to overcome injuries.,Young athletes admire the legends of their sport for setting high standards.,The athlete admires the teamwork displayed by her teammates.,Athletes often admire the discipline required to maintain peak physical condition.
admire,athlete,ARG1,Many fans admire the athlete for his dedication and hard work.,"The young athlete, who had overcome numerous obstacles, was admired by the entire community.",Journalists around the world admire the athlete's commitment to excellence.,Children everywhere admire the athlete as a role model and hero.,Coaches and teammates admire the athlete's leadership and sportsmanship on and off the field.
