serve,library,The community center will serve as a library for the neighborhood.,A renovated warehouse will serve the community as a library.,The old school building will now serve as a new library.,A mobile van will serve remote areas as a traveling library.,The online platform will serve globally as a digital library.
serve,restaurant,The famous chef decided to serve his new dish exclusively at the downtown restaurant.,They plan to serve the special holiday menu only at the family-owned restaurant on Main Street.,The award-winning pie will now be served at the small restaurant nestled in the heart of the city.,"After years of anticipation, the celebrity chef will finally serve her signature dish at the restaurant overlooking the river.",The renowned sushi master agreed to serve his legendary omakase menu at the upscale restaurant located in the hotel lobby.
serve,hospital,Volunteers serve meals to the needy at the hospital every weekend.,The hospital serves as a training ground for new medical interns.,"During the crisis, the school gym was transformed to serve as an additional hospital.","The mobile clinic will serve the rural areas, moving from the hospital to reach remote communities.","In wartime, many buildings were repurposed to serve as temporary hospitals."
sweep,living room,I will sweep the living room to get rid of the dust.,Can you sweep the living room before our guests arrive?,"After the party, we had to sweep the living room for hours to clean it up.",She makes it a point to sweep the living room every morning.,"They forgot to sweep the living room, and now it's covered in pet hair."
sweep,bathroom,I will sweep the bathroom to ensure it's clean.,Can you sweep the bathroom before our guests arrive?,"After the party, we had to sweep the bathroom for any spilled drinks.","Every morning, she makes it a point to sweep the bathroom.","Before applying the new tiles, they decided to sweep the bathroom thoroughly."
sweep,restaurant,"Every morning, the staff sweep the restaurant to ensure it's clean for the day's customers.","After closing, they sweep the restaurant thoroughly, leaving no corner untouched.",Can you sweep the restaurant while I take care of the dishes?,"During the renovation, it was challenging to sweep the restaurant with all the dust and debris.",It's your turn to sweep the restaurant before we lock up for the night.
sweep,kitchen,"Every morning, she would sweep the kitchen to keep it clean.","After the party, we had to sweep the kitchen because it was a mess.",Can you sweep the kitchen while I take care of the dishes?,He decided to sweep the kitchen after noticing crumbs under the table.,They make a habit to sweep the kitchen floor every night before bed.
sweep,barn,"Every morning, the farmer would sweep the barn to keep it clean for the animals.","Before the new hay was brought in, they had to sweep the barn thoroughly.","After the storm, debris was everywhere, so we had to sweep the barn out.","It took hours to sweep the barn, but it was necessary to prepare for the upcoming event.","As part of their chores, the children were taught to sweep the barn every evening."
sweep,theatre,"After the play, the crew came in to sweep the theatre.","Every morning, the janitor has to sweep the theatre to keep it clean for the visitors.",Can you believe they used to sweep the theatre with just brooms before vacuum cleaners were invented?,It's amazing how quickly they can sweep the theatre and get it ready for the next show.,"During the renovation, they found old tickets and popcorn kernels while they were sweeping the theatre."
act,stage,The actors will act on the stage for the final rehearsal.,"Famous performers often act on this stage, making it a historic venue.","Next month, they will act on the largest stage in the city for the annual festival.",Many beginners dream to act on the stage of the national theater.,"During the summer, local artists act on the outdoor stage in the park."
act,school,The students will act in a play at the school tomorrow.,Famous actors often act in productions hosted by the school to inspire students.,"To improve their skills, the drama club decided to act out their latest script in the school auditorium.","Every year, the school invites alumni to act in a special performance to raise funds for arts education.","During the festival, several groups will act out historical events on the school grounds."
